cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
16025,-34.40149,-19.12089,-15.28060,-6.50021,-8.22080,-0.55960,0.9464,17.34,0.0180,29.82,2.48,0.489,0.506,0.093,0.0104,0.0500
16050,-34.40321,-19.11016,-15.29305,-6.48396,-8.21364,-0.59546,0.9441,17.56,0.0182,29.98,2.10,0.489,0.506,0.093,0.0104,0.0500
16075,-34.41286,-19.14823,-15.26463,-6.51619,-8.17585,-0.57258,0.9488,17.53,0.0182,30.21,1.86,0.489,0.506,0.093,0.0104,0.0500
16100,-34.43091,-19.12180,-15.30910,-6.51722,-8.21637,-0.57551,0.9489,17.62,0.0183,29.64,2.09,0.489,0.506,0.093,0.0104,0.0500
16125,-34.37279,-19.15023,-15.22256,-6.44407,-8.16031,-0.61818,0.9383,17.61,0.0183,29.46,2.48,0.489,0.506,0.093,0.0104,0.0500
16150,-34.41498,-19.13444,-15.28054,-6.52412,-8.18930,-0.56711,0.9499,17.83,0.0185,29.46,2.45,0.489,0.506,0.093,0.0104,0.0500
16175,-34.47796,-19.18875,-15.28921,-6.51613,-8.20587,-0.56721,0.9488,17.96,0.0186,29.56,2.18,0.489,0.506,0.093,0.0104,0.0500
16200,-34.39635,-19.13742,-15.25893,-6.49545,-8.17779,-0.58569,0.9458,18.09,0.0187,29.52,2.14,0.489,0.506,0.093,0.0104,0.0500
16225,-34.33782,-19.10113,-15.23669,-6.47943,-8.16185,-0.59540,0.9434,18.01,0.0187,29.91,1.88,0.489,0.506,0.093,0.0104,0.0500
16250,-34.53407,-19.22141,-15.31266,-6.50084,-8.23446,-0.57736,0.9465,17.93,0.0186,29.77,2.27,0.489,0.506,0.093,0.0104,0.0500
16275,-34.46287,-19.15145,-15.31141,-6.53047,-8.21166,-0.56929,0.9509,17.72,0.0184,29.75,2.24,0.489,0.506,0.093,0.0104,0.0500
16300,-34.47372,-19.20256,-15.27116,-6.48625,-8.20086,-0.58405,0.9444,17.69,0.0183,29.88,2.28,0.489,0.506,0.093,0.0104,0.0500
16325,-34.44145,-19.17620,-15.26525,-6.48900,-8.18638,-0.58988,0.9448,17.45,0.0181,30.24,1.63,0.489,0.506,0.093,0.0104,0.0500
16350,-34.45086,-19.21514,-15.23572,-6.46164,-8.18977,-0.58431,0.9408,17.50,0.0181,30.01,1.93,0.489,0.506,0.093,0.0104,0.0500
16375,-34.50631,-19.23791,-15.26840,-6.47482,-8.21808,-0.57550,0.9428,17.50,0.0181,29.97,1.88,0.489,0.506,0.093,0.0104,0.0500
16400,-34.52713,-19.19010,-15.33703,-6.54232,-8.22004,-0.57467,0.9526,17.48,0.0181,30.02,1.90,0.489,0.506,0.093,0.0104,0.0500
16425,-34.51280,-19.19886,-15.31394,-6.50923,-8.22636,-0.57835,0.9478,17.48,0.0181,29.67,2.63,0.489,0.506,0.093,0.0104,0.0500
