cycle,Eall,EvdW,Emag,Ez,Edd,Ea,Mz,twist_deg,twist_rate,width_nm,coil_nm,acc_mech,acc_mag,delta_s,delta_a,delta_tw
275,-42.70048,-23.16357,-19.53691,-6.53135,-12.61904,-0.38652,0.9510,14.76,0.0153,29.91,0.88,0.146,0.524,0.335,0.0376,0.0500
300,-42.83309,-23.35414,-19.47895,-6.50326,-12.56024,-0.41545,0.9469,14.41,0.0149,29.84,1.22,0.152,0.522,0.287,0.0322,0.0500
325,-43.14722,-23.64571,-19.50151,-6.53733,-12.56332,-0.40087,0.9519,14.26,0.0148,30.03,1.15,0.160,0.520,0.259,0.0291,0.0500
350,-43.29487,-23.77332,-19.52154,-6.51421,-12.58993,-0.41741,0.9485,14.30,0.0148,29.98,4.13,0.169,0.519,0.222,0.0249,0.0500
375,-43.47241,-23.93045,-19.54196,-6.52783,-12.60817,-0.40596,0.9505,14.38,0.0149,30.05,4.06,0.178,0.518,0.200,0.0225,0.0500
400,-43.58717,-24.02411,-19.56305,-6.53919,-12.61910,-0.40477,0.9521,14.45,0.0150,30.49,4.10,0.188,0.516,0.172,0.0193,0.0500
425,-43.59158,-24.08799,-19.50359,-6.49991,-12.56730,-0.43639,0.9464,14.40,0.0149,30.84,4.27,0.199,0.516,0.155,0.0174,0.0500
450,-43.77687,-24.23939,-19.53747,-6.55617,-12.57856,-0.40274,0.9546,14.41,0.0149,30.67,3.77,0.211,0.515,0.133,0.0149,0.0500
475,-43.89467,-24.30878,-19.58589,-6.54068,-12.64790,-0.39731,0.9523,104.34,0.1082,30.52,4.27,0.223,0.514,0.120,0.0135,0.0500
500,-43.95570,-24.37793,-19.57777,-6.53368,-12.64564,-0.39844,0.9513,14.23,0.0147,30.66,4.40,0.237,0.514,0.114,0.0128,0.0500
525,-43.96927,-24.44784,-19.52143,-6.51227,-12.59603,-0.41312,0.9482,14.23,0.0147,30.74,3.92,0.249,0.513,0.113,0.0127,0.0500
550,-44.07407,-24.52626,-19.54781,-6.51528,-12.61742,-0.41511,0.9486,14.22,0.0147,30.20,3.94,0.260,0.513,0.107,0.0121,0.0500
575,-44.12741,-24.57974,-19.54766,-6.53360,-12.61950,-0.39456,0.9513,14.29,0.0148,30.09,2.25,0.271,0.512,0.107,0.0120,0.0500
600,-44.20062,-24.64455,-19.55607,-6.50049,-12.63095,-0.42464,0.9465,14.26,0.0148,29.81,2.64,0.280,0.512,0.102,0.0114,0.0500
625,-44.25784,-24.68609,-19.57175,-6.54014,-12.62029,-0.41132,0.9523,14.28,0.0148,29.99,2.82,0.289,0.512,0.101,0.0114,0.0500
650,-44.23380,-24.71621,-19.51758,-6.53162,-12.57342,-0.41254,0.9510,14.31,0.0148,30.13,2.63,0.297,0.512,0.106,0.0119,0.0500
675,-44.29257,-24.73153,-19.56104,-6.49621,-12.65166,-0.41317,0.9459,14.31,0.0148,30.18,4.16,0.304,0.511,0.106,0.0119,0.0500
700,-44.27773,-24.73355,-19.54417,-6.52739,-12.60801,-0.40877,0.9504,14.11,0.0146,30.26,3.88,0.312,0.511,0.111,0.0124,0.0500
725,-44.35444,-24.82787,-19.52657,-6.50047,-12.60231,-0.42378,0.9465,103.97,0.1078,30.14,3.97,0.318,0.510,0.100,0.0112,0.0500
750,-44.38258,-24.82694,-19.55564,-6.53075,-12.62543,-0.39946,0.9509,14.02,0.0145,30.56,1.15,0.324,0.510,0.095,0.0106,0.0500
775,-44.46087,-24.93639,-19.52448,-6.52506,-12.58015,-0.41927,0.9501,13.92,0.0144,29.68,0.78,0.330,0.509,0.105,0.0117,0.0500
800,-44.47484,-24.94611,-19.52873,-6.51746,-12.59656,-0.41471,0.9490,13.97,0.0145,29.52,1.19,0.335,0.509,0.099,0.0111,0.0500
825,-44.49869,-24.97982,-19.51886,-6.53010,-12.56423,-0.42454,0.9508,14.11,0.0146,30.30,1.66,0.340,0.509,0.099,0.0111,0.0500
850,-44.59528,-25.02649,-19.56878,-6.52316,-12.62044,-0.42519,0.9498,19.23,0.0199,30.05,1.30,0.344,0.509,0.094,0.0105,0.0500
875,-44.75033,-25.18069,-19.56964,-6.53879,-12.61799,-0.41286,0.9521,19.34,0.0201,29.58,0.69,0.349,0.509,0.103,0.0116,0.0500
900,-44.66165,-25.13479,-19.52687,-6.52718,-12.58277,-0.41692,0.9504,19.33,0.0200,29.55,0.63,0.353,0.509,0.098,0.0110,0.0500
925,-44.76313,-25.18216,-19.58097,-6.52589,-12.63908,-0.41600,0.9502,19.19,0.0199,29.51,0.54,0.357,0.508,0.098,0.0110,0.0500
950,-44.80303,-25.23715,-19.56588,-6.53891,-12.62182,-0.40515,0.9521,19.13,0.0198,29.50,0.54,0.361,0.508,0.092,0.0104,0.0500
975,-44.85862,-25.30067,-19.55795,-6.53694,-12.59582,-0.42520,0.9518,19.30,0.0200,29.53,0.59,0.365,0.508,0.092,0.0104,0.0500
1000,-44.89495,-25.33782,-19.55713,-6.52543,-12.60679,-0.42491,0.9501,19.23,0.0199,29.52,0.54,0.368,0.508,0.097,0.0108,0.0500
1025,-44.88855,-25.35823,-19.53032,-6.53462,-12.57822,-0.41749,0.9515,18.95,0.0196,29.49,0.54,0.371,0.508,0.096,0.0108,0.0500
1050,-44.89949,-25.33664,-19.56285,-6.50956,-12.62790,-0.42539,0.9478,19.00,0.0197,29.49,0.49,0.374,0.508,0.091,0.0102,0.0500
1075,-44.96024,-25.41267,-19.54757,-6.50387,-12.59992,-0.44378,0.9470,18.77,0.0195,29.49,0.54,0.377,0.508,0.091,0.0102,0.0500
